"","CrabNum","Island","95Cocos","95Natives","95Scaevola","95Sand","50Cocos","50Natives","50Scaevola","50Sand","AvailCocos","AvailNatives","AvailScaevola","AvailSand"
"1",1,"cooper",0,676,1832,0,0,21,66,0,0.377588196290392,0.324053000410885,0.155091807676168,0.143266995622556
"2",2,"cooper",178361,28294,19028,1468,39218,7066,3145,1434,0.377588196290392,0.324053000410885,0.155091807676168,0.143266995622556
"3",3,"sand",1001,14581,21,178,286,2057,4,10,0.122104678482047,0.820272996577966,0.0232008784922621,0.0344214464477246
"4",4,"sand",1631,12604,9,67,395,4575,4,4,0.122104678482047,0.820272996577966,0.0232008784922621,0.0344214464477246
"5",6,"sand",13079,87200,3474,1879,3722,38739,2076,1098,0.122104678482047,0.820272996577966,0.0232008784922621,0.0344214464477246
"6",7,"sand",2736,30530,46,1408,1922,16278,46,841,0.122104678482047,0.820272996577966,0.0232008784922621,0.0344214464477246
"7",8,"cooper",97100,25213,23076,387,15476,452,97,0,0.377588196290392,0.324053000410885,0.155091807676168,0.143266995622556
"8",9,"cooper",2431,2248,2135,0,757,121,248,0,0.377588196290392,0.324053000410885,0.155091807676168,0.143266995622556
"9",10,"cooper",45108,7546,8531,16,14581,2795,557,16,0.377588196290392,0.324053000410885,0.155091807676168,0.143266995622556
"10",12,"eastern",1070,3415,1,458,95,796,0,47,0.199322838893857,0.615585750729095,0.00275919785721417,0.182332212519834
"11",13,"eastern",329,5507,0,287,0,729,0,63,0.199322838893857,0.615585750729095,0.00275919785721417,0.182332212519834
"12",14,"eastern",61,3706,0,132,8,509,0,0,0.199322838893857,0.615585750729095,0.00275919785721417,0.182332212519834
"13",15,"eastern",2445,11141,0,1705,407,1594,0,192,0.199322838893857,0.615585750729095,0.00275919785721417,0.182332212519834
"14",16,"cooper",11491,6222,988,2258,3877,443,23,402,0.377588196290392,0.324053000410885,0.155091807676168,0.143266995622556
"15",17,"eastern",3495,8872,8,168,40,3397,4,0,0.199322838893857,0.615585750729095,0.00275919785721417,0.182332212519834
"16",19,"eastern",3649,3929,0,322,529,651,0,0,0.199322838893857,0.615585750729095,0.00275919785721417,0.182332212519834
"17",20,"sand",2512,22619,1852,643,1414,7664,179,40,0.122104678482047,0.820272996577966,0.0232008784922621,0.0344214464477246
"18",21,"sand",660,5619,492,0,2,1417,148,0,0.122104678482047,0.820272996577966,0.0232008784922621,0.0344214464477246
"19",101,"cooper",16981,16001,18429,31,4796,4000,2612,16,0.377588196290392,0.324053000410885,0.155091807676168,0.143266995622556
"20",103,"cooper",170411,39781,24232,2064,30667,5404,2324,170,0.377588196290392,0.324053000410885,0.155091807676168,0.143266995622556
"21",106,"sand",2982,5940,175,364,696,897,26,33,0.122104678482047,0.820272996577966,0.0232008784922621,0.0344214464477246
"22",107,"sand",1259,4163,21,205,693,1061,0,72,0.122104678482047,0.820272996577966,0.0232008784922621,0.0344214464477246
"23",108,"sand",1010,3252,0,157,215,1449,0,3,0.122104678482047,0.820272996577966,0.0232008784922621,0.0344214464477246
"24",109,"cooper",23822,66365,15226,7444,6967,7682,1044,1139,0.377588196290392,0.324053000410885,0.155091807676168,0.143266995622556
"25",110,"cooper",6049,10243,14699,0,123,1395,2321,0,0.377588196290392,0.324053000410885,0.155091807676168,0.143266995622556
"26",111,"sand",303,6012,22,79,49,2011,8,19,0.122104678482047,0.820272996577966,0.0232008784922621,0.0344214464477246
"27",112,"sand",840,4564,4,54,298,872,2,4,0.122104678482047,0.820272996577966,0.0232008784922621,0.0344214464477246
"28",115,"sand",7367,31575,2428,410,344,4373,105,27,0.122104678482047,0.820272996577966,0.0232008784922621,0.0344214464477246
"29",116,"sand",2683,30805,315,503,519,3784,12,55,0.122104678482047,0.820272996577966,0.0232008784922621,0.0344214464477246
"30",117,"sand",1682,18702,31,377,129,2563,0,2,0.122104678482047,0.820272996577966,0.0232008784922621,0.0344214464477246
"31",119,"cooper",13109,4223,2958,0,5568,2603,2164,0,0.377588196290392,0.324053000410885,0.155091807676168,0.143266995622556
"32",120,"sand",612,7918,0,111,0,2461,0,0,0.122104678482047,0.820272996577966,0.0232008784922621,0.0344214464477246
"33",121,"sand",489,6936,4,5,0,709,0,0,0.122104678482047,0.820272996577966,0.0232008784922621,0.0344214464477246
"34",122,"sand",445,14046,37,453,0,641,6,5,0.122104678482047,0.820272996577966,0.0232008784922621,0.0344214464477246
"35",123,"eastern",1557,9725,71,276,738,1906,0,21,0.199322838893857,0.615585750729095,0.00275919785721417,0.182332212519834
"36",124,"eastern",27099,116499,374,16133,20785,76685,7,8377,0.199322838893857,0.615585750729095,0.00275919785721417,0.182332212519834
"37",125,"eastern",24497,101887,142,11152,3270,19339,0,1251,0.199322838893857,0.615585750729095,0.00275919785721417,0.182332212519834
